logM200,sigma
13.76884,498.0554
13.61164,497.8913
13.65039,497.8913
13.30715,497.6256
14.28417,497.4505
14.33905,497.4065
14.04912,497.36
13.70469,497.2746
13.35352,497.0943
13.51348,497.0411
14.20342,496.8286
13.29176,496.8286
13.39789,496.8286
13.68951,496.7755
13.84027,496.6515
13.44397,496.5629
13.01009,496.2972
13.72225,496.2841
13.88515,496.1972
13.6948,495.8418
13.89363,495.3235
13.69541,495.0574
13.10308,494.9688
14.11257,494.8803
14.044,494.7208
13.87946,494.6036
13.85278,494.4094
14.10219,494.3825
13.64766,494.1718
13.91859,493.9693
13.42599,493.9592
13.70803,493.8175
13.96382,493.7976
14.02854,493.7821
13.6813,493.6404
14.07437,493.3895
13.42452,493.3216
13.84893,493.2287
13.11868,493.109
13.95905,492.9133
13.57822,492.8965
13.53808,492.7548
13.84164,492.6036
13.72276,492.5777
13.05249,492.312
14.10293,492.2204
14.06557,491.8692
13.88543,491.8281
13.57922,491.816
14.27749,491.7332
13.8718,491.692
14.07612,491.4706
14.01444,490.9836
13.61277,490.9836
14.08727,490.8241
13.7524,490.8064
13.6153,490.5655
13.87617,490.0448
13.89891,489.9031
13.28134,489.6551
13.67799,489.5666
13.88637,489.5223
14.00031,489.3895
13.56882,489.1364
13.89108,489.1238
13.68431,489.0352
14.0963,488.8581
13.54327,488.8581
14.03457,488.681
13.91889,488.5847
13.8286,488.5038
13.82828,488.4953
13.52585,488.4596
13.87817,488.3799
13.41158,488.1053
14.08262,487.9725
13.61177,487.9725
13.67932,487.8574
13.87308,487.6896
13.6858,487.6625
13.94784,487.5673
13.11011,487.5297
13.95065,487.517
13.96932,487.4411
13.76288,487.304
14.2951,487.231
13.86104,487.1379
13.827,487.0869
13.76299,486.9983
14.02842,486.9913
13.74099,486.9846
14.08759,486.7769
13.61865,486.4669
13.77478,486.4669
13.18272,486.4669
13.67146,486.4385
13.99199,486.363
13.7076,486.2618
14.05553,486.2012
14.05535,485.9356
13.44982,485.847
13.89591,485.7536
13.91796,485.7268
13.63533,485.6699
13.97584,485.4802
13.91437,485.4597
13.99412,485.3599
14.50397,485.1385
13.4072,484.9791
13.79531,484.8728
14.04944,484.6661
13.39445,484.6071
13.70051,484.3889
14.19144,484.2261
13.7725,484.0758
13.08532,484.0758
13.71022,483.924
13.42121,483.8632
13.24831,483.8101
13.52759,483.5444
14.10919,483.3673
13.76587,483.3673
13.62051,483.2787
14.35545,483.1222
13.59325,483.1016
13.48516,483.013
13.67395,482.9396
13.60007,482.8536
13.19493,482.7474
13.66301,482.6588
13.99847,482.5879
14.04379,482.526
14.14243,482.4817
13.62073,482.4817
13.81489,482.3046
13.8226,482.3046
13.91366,482.1893
13.41957,481.9503
13.67522,481.7732
13.93553,481.7475
13.33305,481.4189
13.70715,481.3489
14.02481,481.2418
13.13074,481.1533
13.77793,481.0679
14.25774,480.9407
13.53785,480.8344
13.37189,480.8087
13.73124,480.7358
13.39562,480.6219
13.81861,480.6071
13.65523,480.2708
14.11204,480.2378
13.7051,480.1303
13.75104,480.0905
13.82026,480.0905
13.60832,480.0267
13.80702,479.8248
13.45828,479.8248
13.77045,479.7266
13.88316,479.5635
13.15517,479.5592
13.47746,479.2787
13.81047,479.1256
14.00201,479.1163
13.9396,479.1163
13.28019,479.1163
13.60007,478.8152
13.4481,478.4964
13.56175,478.4964
13.37113,478.4079
13.62127,478.2307
13.50729,478.1127
13.6789,477.7879
13.64932,477.7879
13.71906,477.6994
14.03737,477.5665
13.41498,477.54
14.08197,477.4337
13.69857,477.4218
13.53983,477.3451
13.52293,477.3451
13.54179,476.8138
13.56594,476.7252
13.81419,476.6071
13.97326,476.5924
13.82634,476.4326
13.42067,476.371
13.65065,476.1559
14.37621,476.1495
14.03162,476.1053
13.38057,476.1053
13.87885,476.0294
13.7649,475.9724
13.83305,475.8486
13.15159,475.8396
13.90572,475.6285
13.26415,475.5739
14.06228,475.5733
14.0186,475.2634
13.54758,475.016
13.68741,474.7768
13.81433,474.6787
13.41065,474.5289
13.7757,474.5259
13.76423,474.5112
13.45363,474.4226
13.79695,474.3406
13.63472,474.2809
13.79487,474.1923
13.42614,474.1569
13.70053,473.9798
13.31061,473.9798
13.37578,473.8973
13.65632,473.6961
13.81698,473.6078
13.80054,473.5547
13.85857,473.4484
13.83574,473.4328
13.6786,473.0816
13.97739,472.7655
13.82304,472.7399
13.70957,472.6514
12.83657,472.6514
13.52462,472.6006
14.19564,472.5451
13.61525,472.4743
12.84568,472.3857
14.39504,472.3667
14.20291,472.2529
13.66242,472.1142
14.08823,472.1055
14.06605,472.0314
13.92542,471.8543
12.89904,471.8543
13.60075,471.8543
13.40152,471.8543
13.6541,471.4561
13.34175,471.323
14.09246,471.3027
13.45217,471.2698
13.96381,471.0927
13.69374,471.0573
13.39517,471.0573
13.98141,471.0331
14.04229,471.0041
13.62,470.9687
13.20507,470.6145
14.31559,470.56
13.4923,470.4728
13.92266,470.3045
13.74602,470.2973
13.54575,470.2012
13.81209,469.906
13.81938,469.7289
13.46534,469.7289
13.99955,469.4632
13.46565,469.4632
13.72483,469.1975
13.44001,469.1975
14.08307,469.0448
13.77444,469.0204
13.84315,468.8432
13.31403,468.7104
13.39282,468.6661
13.47589,468.6561
13.73457,468.5427
13.56369,468.4004
13.33352,468.4004
13.76934,468.2961
13.81647,468.1568
13.83884,468.1348
13.20973,467.9576
13.77675,467.929
13.46854,467.8691
13.55272,467.8691
13.74298,467.7982
13.60162,467.6034
14.15719,467.5489
14.02438,467.4191
13.85291,467.072
13.78876,466.9392
14.33625,466.8949
13.78413,466.8063
13.90642,466.7621
14.05995,466.7039
14.11104,466.6735
13.92808,466.5416
13.09643,466.5407
13.82732,466.4872
13.93022,466.3983
13.47343,466.275
13.26745,466.275
13.8832,466.2307
14.27738,466.1421
13.49106,466.0852
13.77449,465.9144
13.85515,465.8783
